adjudication;c_ee93bbbe
advocacy;c_1410424255662
agrarian reform;c_196
agrarian structure;c_7193
agricultural and rural legislation;c_28633
agricultural land management;c_4bd6790a
agricultural landscape;c_37277
agriculture;c_203
agroforestry systems;c_330982
agropastoral systems;c_16112
alienation (land);c_ceb73ce1
animal husbandry;c_8532
aquaculture;c_550
area;c_330588
assessment;c_330990
assignment (land);c_8c6882ab
boundaries;c_15686
cadastral administration;c_d774aa00
cadastral register;c_b4d51db0
cadastres;c_1177
capacity building;c_37836
capital value (land);c_a9966ac9
CEDAW;c_958edb9d
climate change;c_1666
coastal area;c_9000021
codification;c_0eca1c57
collateral (land);c_931da360
collective ownership;c_29157
common lands;c_1782
common law;c_1783
common property;c_9000022
common rights;c_de048871
commons;c_778a14cf
communal ownership;c_9024771d
communal territory;c_41b77c02
community forestry;c_16532
community land rights;c_ff890f6b
compensation;c_1791
compulsory acquisitions;c_95fedfc9
concession (land);c_357653f9
conflict of interest;c_854e9e62
continuum in land rights;c_ffd74ae5
contract farming;c_1839
control rights;c_7a25baee
co-ownership rights;c_599d2e5c
corruption;c_28663
customary land rights;c_cd44c0b3
customary law;c_10222
customary tenure;c_56c34d4d
decentralization;c_2143
deed;c_c10cdeb5
deed registration;c_6120d7bc
deforestation;c_15590
desertification;c_2204
development;c_331049
development agencies;c_2224
displacement;c_65c7772b
dispossession;c_781deefb
disturbance;c_cbe171b4
dowry (land);c_f7cf8606
eminent domain;c_c208d7f3
encroachment;c_a245096c
environment;c_2593
estate management;c_21323863
eviction;c_0b88a82c
expropriation;c_1798
extensive land use;c_36552
extractive industries;c_5d3b8015
farm tenancy;c_dec8141f
farmers;c_2805
farmers associations;c_2806
farmers organizations;c_37175
farming systems;c_2807
farmland;c_2808
fisheries;c_2934
food security;c_10967
forest conservation;c_1374158672853
forest grazing;c_3046
forest land;c_24843
forest law;c_8c59c597
forest management plans;c_1374070277659
forest monitoring and assessment;c_1374155312641
forest regulations;c_28079
forestry;c_3055
forestry policies;c_3060
formal tenure;c_dfbaecdf
free trade agreements;c_3ffda84e
freehold;c_b972e0ea
gender equity in access to land;c_1dfe5bfe
geographical information systems;c_35131
geomatics;c_92332
Global Land Indicator Initiative;c_8b624d6a
government purchases;c_b3864149
grassroots organizations;c_50226
grazing;c_25243
grazing contracts;c_bac66d94
grazing land rights;c_97241aeb
grazing lands;c_3369
green belts;c_37720
ground rent;c_3389
housing rights;c_a1b5abd0
illegal occupation;c_8dd43c79
independent experts;c_60fbd8f7
indigenous land rights;c_d42b49e7
indigenous lands;c_86524ff8
indigenous peoples;c_331524
indigenous tenure;c_a291ae58
informal property;c_1d4ea7db
informal settlements;c_ba3b2ea7
inheritance tax;c_3870
intensive land use;c_36551
investment funds;c_0d7ef890
Islamic law;c_34fdb55c
land;c_4172
land access;c_9000090
land acquisitions;c_89d3dcbb
land administration;c_9000091
land allocation;c_1464c114
land area;c_298db0d3
land clearing;c_1662
land concentration;c_8654e90e
land conflicts;c_e236b2b1
land consolidation;c_4173
land cover;c_37897
land cover mapping;c_9000094
land deals;c_666dbc26
land degradation;c_34823
land delivery;c_b317eba8
land development (urbanization);c_4174
land dispute;c_1ada969a
land dispute resolution;c_6f79699c
land distribution;c_37734
land diversion;c_28716
land economics;c_25195
land environment;c_7ffc9d69
land fragmentation;c_0543301f
land governance;c_aca7ac6d
land grabbing;c_cc39a497
land grabs;c_45ce1b52
land improvement;c_28717
land information systems;c_9000096
land inheritance rights;c_70a14ab3
land investments;c_9a4f48b4
land law;c_573abb9f
land loans;c_8b6d895f
land management;c_24866
land markets;c_4175
land ownership;c_28718
land policies;c_195
land readjustment;c_57156ff8
land reform;c_4178
land registration;c_9000098
land rent;c_7bea427c
land rights;c_37898
land rights activists;c_e6067b76
land speculation;c_15d85712
land subdivision;c_a79c0bb8
land suitability;c_15992
land tax;c_4180
land tenants;c_c48aca78
land tenure;c_12069
land tenure systems;c_66afb052
land titling;c_119678e7
land transactions;c_a4f67d48
land transfers;c_4181
land use;c_4182
land use mapping;c_9000100
land use planning;c_37899
land valuation;c_72dd6860
landlessness;c_24403
landowners;c_4184
latifundium;c_9c0e84b3
leases;c_4240
legal empowerment;c_c1543349
legal pluralism;c_434cfdd6
lineage;c_29225
lineage land;c_d08b21b6
local community;c_45cd8441
management rights;c_862db225
manure contract;c_6b8a1f45
marital property rights;c_64d8574a
matrilineal;c_a0982198
mining;c_49983
natural disasters;c_10391
natural resources management;c_9000115
nature reserves;c_16141
negotiated land reform;c_f84a48c4
non indigenous peoples;c_28e0dafa
notary;c_72efbdb8
occupation;c_9044ce39
open access (land);c_51a39a94
orphans land rights;c_e5f9b786
palm oil industries;c_ccc27fe2
parcel plan;c_2ee25bd9
pastoral land rights;c_4d6b6100
pastoral lands;c_8e487587
pastoralists;c_653f04fe
patrilineal;c_85dfd05c
perimeter (land);c_db4161cb
personal property;c_2f114c12
poverty;c_6151
pre-emption rights;c_9c081fdc
prescription;c_f86e1a09
priest of the land;c_28f78be5
private forests;c_1882e93f
private ownership;c_6192
property;c_13609
property law;c_da192f3f
property rights;c_37942
protected areas;c_37952
public ownership;c_6350
rangelands;c_6448
reforms;c_bb4738d4
regularization of illegal occupation;c_3b50d6b6
regularization of ownership;c_d190bc52
research;c_6513
right of access;c_6604
right of first occupancy;c_9904d265
rights in divorce;c_b3372020
rights of clearance;c_62487b4a
riparian rights;c_a6fdfb0e
rural areas;c_6699
rural development;c_6701
rural planning;c_6704
rural population;c_6705
sacred woods;c_c0a7f4fb
scale;c_128d5eb6
scrublands;c_6887
security of tenure (land);c_7fc44e33
servient tenement;c_31e765ad
slums;c_9001019
squatters;c_34ea1b1e
state forests;c_14569
state property;c_22d01a32
statute law;c_86cb818a
statutory tenure;c_dc5739ab
suburban agriculture;c_18389
surveyors;c_26e30c73
sustainable development;c_35332
sustainable land management;c_36580
sustainable land use;c_bdedf48c
tenant farmers;c_f73955fb
tenants;c_330886
tenant's rights;c_28775
tenure regularization;c_cc3d0c47
territory;c_a9e7dd7f
title deed;c_b769471e
torrens system;c_7017dc39
town and country planning;c_9f542492
transaction costs;c_aa48855b
trust;c_0cc6c485
unclaimed lands;c_0e0e555b
urban areas;c_8085
urban forestry;c_32620
urban planning;c_37948
urban population;c_8086
urbanization;c_8088
use rights;c_945c9e82
usufruct;c_28784
waste;c_ecf20c17
water management;c_8320
water management in lowland;c_330634
water management in upland;c_330633
water rights;c_16062
willing seller;c_88c1b116
women;c_8420
youth;c_8491
zoning;c_36936
