ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List
nust:10628/361;The cost of land registration: A case study of cost efficiency in Namibia.;;"In the light of the global discussion on

reducing public and private expenditure on

cadastral processes and services, this

article reviews the transaction costs of

land registration, based on data gathered in

Namibia. The data show a large

differentiation in the types of costs

incurred in the process, as well as various

levels of cost recovery. In addition, the

degree to which delays in the operational

registration processes influence the total

cost to land developers and landowners is

reviewed.";"De Vries, Walter
Lewis, Joe
Georgiadou, Y.";;Taylor & Francis Group;Namibia University of Science and Technology;2003-12-31;en;"land;land registration;research";;Land Use, Management & Investment;NAM;;http://ir.nust.na/handle/10628/361;http://ir.nust.na/rest/bitstreams/1007/retrieve;http://ir.nust.na/rest/bitstreams/2035/retrieve;;;;
nust:10628/360;Are urban land tenure regulations in Namibia the solution or the problem?;;"Land tenure in Namibia is regulated by a variety of Acts, some of which date back to as far as 1937, and some of which are

yet to be approved by Cabinet. This variety of Acts makes it difficult to evaluate the performance of land administration as a

whole, and the appropriateness of coercive instruments with regards to urban land tenure in particular. In this article we

evaluate how urban land tenure regularization practices are conducted in Namibia, and to compare new formal procedures,

designed to address problems of efficiency and efficacy, to older existing procedures, supposedly not efficient or effective.

This evaluation uses a theoretical framework of (Pritchett and Woolcock, 2004) , which deals with public service delivery

and transaction-intensive services. Applying this framework for a comparative analysis of 5 different land subdivision

practices – each relying on a different land-related act - we conclude that the degree of regulation and regularization is

perhaps not so much a solution for urban land tenure problems but perhaps more of a problem in itself.";"De Vries, Walter
Lewis, Joe";;Taylor & Francis Group;Namibia University of Science and Technology;2009-12-31;en;"land;land tenure;urban areas;land policies;land reform;urbanization";Urban Tenure;"Land Policy & Legislation;Access to Land & Tenure Security";NAM;Policy Papers & Briefs;http://ir.nust.na/handle/10628/360;http://ir.nust.na/rest/bitstreams/1005/retrieve;http://ir.nust.na/rest/bitstreams/2037/retrieve;;;;
nust:10628/546;The proposed new urban and regional planning bill.;;ILMI Brown bag meeting, Thursday 15th October 2015, 12h30-14h00.;Genis, Pieter;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"urbanization;urban planning;land policies";Urban Tenure;Land Use, Management & Investment;NAM;Journal Articles & Books;http://ir.nust.na/handle/10628/546;http://ir.nust.na/rest/bitstreams/1580/retrieve;http://ir.nust.na/rest/bitstreams/2104/retrieve;;;;
nust:10628/545;The new flexible land tenure act: An update [ILMI Document No. 2/2015].;;ILMI Brown bag meeting on Thursday 29th October 2015, 12h30-14h00.;Christensen, Åse.;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"urbanization;land;land tenure;land law;land reform";Urban Tenure;"Land Policy & Legislation;Access to Land & Tenure Security";NAM;Journal Articles & Books;http://ir.nust.na/handle/10628/545;http://ir.nust.na/rest/bitstreams/1578/retrieve;http://ir.nust.na/rest/bitstreams/2077/retrieve;;;;
nust:10628/617;Land reform;;A lot of aspects are commonly subsumed under the concept land reform. These range from redistribution to tenure and agrarian reform. What do these different concepts mean? Agrarian reform: this is the broadest term and refers to attempts to change the agrarian structure of a country. It typically includes land reform, tenure, the reform of agricultural support systems and the reform of the credit system. Land reform: interventions to change the pattern of land ownership or agrarian structure through a process of redistributing land Tenure reform: tenure refers to the system governing access to land defining rights and obligations. Tenure reform refers to reforming these rules to achieve improved tenure security or equity. While land reform involves moving some people off the land in order to improve access to such land by other, tenure reforms leaves people holding the same land but with different rights.;Werner, Wolfgang;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-12-31;en;"land;land reform;agriculture;agrarian reform";;;;;http://ir.nust.na/handle/10628/617;http://ir.nust.na/rest/bitstreams/2301/retrieve;;;;;
nust:10628/616;Urban land delivery;;There has been rapid growth in urban populations in Namibia (Pendleton et al, 2014). This growth is amongst predominantly amongst less educated, poorer migrants from rural areas in search of opportunities in urban areas. From the data available the estimated shortfall of either titled land or houses appears to be above 150 000 and increasing at about 11 000 per year (Weber, 2017). This trend of urbanisation is occurring not only in Namibia but across the world, particularly now in developing countries. Continued urban migration should be encouraged, as even though new urban migrants are poor, by and large their lives are better in urban areas. However, the delivery of titled land in urban areas in Namibia has been hamstrung by several legislative and regulatory procedures with a number of negative consequences (De Vries, 2009).;Mendelsohn, Martin;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-12-31;en;"land delivery;land reform;informal settlements;land";Urban Tenure;Access to Land & Tenure Security;;;http://ir.nust.na/handle/10628/616;http://ir.nust.na/rest/bitstreams/2299/retrieve;;;;;
nust:10628/567;Sustainable Land Governance in Support of the Global Agenda;;This paper is work in progress and draws from previous research. The paper supports the public lecture on Sustainable Land Governance in Support of the Global Agenda given at Namibia University of Science and Technology (NUST) on 4 March 2016.;Enemark, Stig;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2016-12-31;en;"land governance;land;development agencies;sustainable development";;;;Reports & Research;http://ir.nust.na/handle/10628/567;http://ir.nust.na/rest/bitstreams/1638/retrieve;http://ir.nust.na/rest/bitstreams/2140/retrieve;;;;
nust:10628/566;Land Reform in Namibia: A Bibliography;;"ILMI is delighted to publish this bibliography in its Working Paper Series. It sees this as a small

contribution to encourage and facilitate research on land reform in Namibia. Perhaps more

ambitiously, this bibliography may serve as a starting point to collect the titles listed in order to

strengthen the resource centre on land administration and land reform.";Werner, Wolfgang;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2016-12-31;en;"land;land reform";;;NAM;Reports & Research;http://ir.nust.na/handle/10628/566;http://ir.nust.na/rest/bitstreams/1636/retrieve;http://ir.nust.na/rest/bitstreams/2138/retrieve;;;;
nust:10628/582;The new Flexible Land Tenure Act: an update.;;The Flexible Land Tenure (FLT) system was developed by the Ministry of  Lands and Resettlement and the discussions started in the period of 1992-1998. It was conceived as an alternative for the land tenure catering for low income groups. The act passed in 2012, and currently the regulations are being revised for approval.;Christensen, Åse;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-10-31;;"land;land tenure;sustainable development;land law";Socio-Economic & Institutional Context;"Land Policy & Legislation;Access to Land & Tenure Security";;;http://ir.nust.na/handle/10628/582;http://ir.nust.na/rest/bitstreams/2200/retrieve;http://ir.nust.na/rest/bitstreams/2203/retrieve;;;;
nust:10628/581;The Flexible Land Tenure System in the Context of the Sustainable Development Goals;;"The purpose of this study is to investigate whether the Flexible Land Tenure System (FLTS) in

Namibia is in line with the Fit-For-Purpose (FFP) land administration approach which is

developed in order to implement the Sustainable Development Goals (SDGs) at national and

local level in developing countries by providing tenure security to poor people and creating

country-wide land recordation systems. The FFP approach is based on a Minimum Viable

Product focusing on the specific local tenure security needs, flexibility on survey accuracy,

legal and institutional frameworks and an incremental improvement as a foundation for

further development. The study is based on a literature study of the SDGs, the FFP approach

and the FLTS in Namibia. The literature study is based on contemporary theories on land

administration and how access to tenure security can contribute to poverty alleviation. The

study indicates that certain elements of the FLTS are complying with the characteristics of the

FFP approach and thus has potential to contribute to fulfilling the SDGs in Namibia. There is

however a need for further in-depth academic research.";Christensen, Åse;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2017-04-30;en;"development;land;land tenure;sustainable development;land tenure systems;development agencies";Socio-Economic & Institutional Context;"Land Policy & Legislation;Access to Land & Tenure Security";;Reports & Research;http://ir.nust.na/handle/10628/581;http://ir.nust.na/rest/bitstreams/2198/retrieve;http://ir.nust.na/rest/bitstreams/2207/retrieve;;;;
nust:10628/580;Land Delivery to the Urban Poor. Case study of Lux Development Project Nam/343: Realities, opportunities, possibilities, synergies;;The project took place in Katima Mulilo and Rundu during 2007-11. The project consisted of 66 township extensions, and resulted in 18,500 plots developed in a period of 5 years. The project was funded by LUX Development, the cooperation agency from Luxemburg, which poured significant funds to make the project possible. One of the innovation aspects was to do the topographic and cadastral mapping in parallel with the layout and design. This was done by teams consisting of a town planner, a surveyor , and community facilitators selected by the inhabitants of the settlement in question.;Lewis, Joe;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2016-07-31;en;"land delivery;development;land;sustainable development;urban areas;urban population;poverty;research";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/580;http://ir.nust.na/rest/bitstreams/2196/retrieve;http://ir.nust.na/rest/bitstreams/2205/retrieve;;;;
nust:10628/587;Leasehold as a Vehicle for Economic Development;;;"Werner, Wolfgang
Bayer, Charl-Thom";;Legal Assistance Centre;Namibia University of Science and Technology;2016-11-30;en;"development;land;land reform;leases;sustainable development";;;NAM;;http://ir.nust.na/handle/10628/587;http://ir.nust.na/rest/bitstreams/2220/retrieve;http://ir.nust.na/rest/bitstreams/2227/retrieve;;;;
nust:10628/568;Applying a Problem Based Learning Approach to Land Management Education:The case of Aalborg University, Denmark;;"This paper is work in progress and draws from previous research. The paper supports the lecture on

Problem Based Learning given at the Namibia University of Science and Technology (NUST) on 3 March 2016.";Enemark, Stig;;;Namibia University of Science and Technology;2016-12-31;en;"land management;land administration;land";;Land Use, Management & Investment;;Reports & Research;http://ir.nust.na/handle/10628/568;http://ir.nust.na/rest/bitstreams/1640/retrieve;http://ir.nust.na/rest/bitstreams/1658/retrieve;;;;
nust:10628/585;25 years of land reform;;The Land, Livelihoods and Housing Programme aims at deepening and expanding the focus on these three key issues in Namibia. This thematic approach seeks to reflect the wide-ranging skills exiting at the FNRSS, and was developed to guide ILMI’s activities during the 2014-18 period. The programme is organised in four aspects: institutional, environmental, fiscal and spatial processes.;Wolfgang, Werner;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"land;land reform";;;NAM;Reports & Research;http://ir.nust.na/handle/10628/585;http://ir.nust.na/rest/bitstreams/2216/retrieve;http://ir.nust.na/rest/bitstreams/2219/retrieve;;;;
nust:10628/618;Ancestral land;;"Ancestral land refers to ‘land of ancestors’. That is the land occupied by ones’ forebearers for generations and left something behind of value for current and future generations. There are usually contestations as to which ancestors the land

belongs because of the history of internal migration and of displacements by stronger nations (tribes).";Katjiua, Mutjinde;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-12-31;en;"land reform;informal settlements;land;inheritance tax";Urban Tenure;Access to Land & Tenure Security;;;http://ir.nust.na/handle/10628/618;http://ir.nust.na/rest/bitstreams/2303/retrieve;;;;;
nust:10628/85;Optical remote sensing in support of eutrophication monitoring in the southern North Sea.;;"Spring mean and maximum chlorophyll a (chl a) concentrations are main factors to determine the eutrophication status of the Belgian waters as agreed within OSPAR in 2002. Other important assessment parameters to measure the degree of nutrient enrichment - the amounts of inorganic

phosphate and nitrogen in winter - appeared to be above thresholds for most measurements performed in the period 1974-2002. As the standard in situ monitoring programme does not give a clear picture of the temporal and spatial distribution of chl a, it is logical to complement these measurements with optical remote sensing. However, chlorophyll concentrations derived from sensors such as SeaWiFS are unreliable in the Case 2 waters of this region because of high particulate and dissolved yellow substance absorption. Another important limitation of ocean colour sensors is the amount of useful images due to cloud cover. The combination of data from different ocean colour sensors in order to enable a better temporal coverage might be hampered by the different chlorophyll retrieval algorithms used. This study compares different global chl a algorithms (MODIS, SeaWiFS, MERIS) as well as a turbid water algorithm for the Southern North Sea. This is done by running the different algorithms on in situ reflectance spectra collected at 107 stations in the period 2001-2002 over the Southern North Sea and comparing them with in situ chl a concentrations, as well as by running the algorithms on a MERIS image of the 29th of July 2002. Based on this validation the accuracy of these products and their suitability for eutrophication monitoring in

the Southern North Sea are assessed.";"De Cauwer, Vera
Ruddick, Kevin
Park, Young-Je
Nechad, Bouchra
Kyramarios, Michael";;;Namibia University of Science and Technology;2004-12-31;en;"geographical information systems;land registration";;;;Journal Articles & Books;http://ir.nust.na/handle/10628/85;http://ir.nust.na/rest/bitstreams/157/retrieve;http://ir.nust.na/rest/bitstreams/1733/retrieve;;;;
nust:10628/86;Assessing potential to produce final ocean colour maps of Namibia`s marine environment: Final report for BCLME/UNOPS PCU/POLYTECH/05/01 MODIS.;;;De Cauwer, Vera;;;Namibia University of Science and Technology;2006-12-31;en;"environment;land cover;land use mapping;sustainable land management";Land, Climate change & Environment;;NAM;Reports & Research;http://ir.nust.na/handle/10628/86;http://ir.nust.na/rest/bitstreams/159/retrieve;http://ir.nust.na/rest/bitstreams/1780/retrieve;;;;
nust:10628/622;Ecosystem services and small-holder farming practices -between payments, development support and right- an integrated approach (ILMI Working paper 10);;"Small-scale	farmers	in	north-central	Namibia	face	numerous	challenges,	ranging	from	low	crop	yields,	high	rainfall	variability	and	land	degradation	which	is	threatening	the	long-term	productivity	of	the	land,	to	social	changes	that	are	reducing	the	work	force	available	for	farming.	This	paper	aims	to	assess	existing	land	use	practices	(LUPs)	and	to	determine	their	relationship	to	ecosystem	services	(ES).	As	agriculture	(crop	and	livestock	farming)	is	the	dominant	land	use	in	northern	Namibia,	it	is	the	main	driver	influencing	environmental	services	and	will	be	in	the	focus	here.	We	suggest	ways	of	combining	an	improvement	of	provisioning	services	(especially	food	production	and	thus	livelihoods	of	small-scale	farmers)	together	with	regulating	services	(e.g.	climate	regulation	through	carbon	storage	and	soil	fertility	conservation)	to	create	multiple	benefits	at	the	landscape	level.	In	addition	to	identifying	suitable	LUPs,	we	argue	that	any	activity	trying	to	improve	ES	should	count	on	the	already	existing	initiatives	and	interventions	and	look	for	synergies	and	complementarities.";"Bloemertz, Lena
Naanda, Martha
Wingate, Vladimir
Angombe, Simon
Kuhn, Nikolaus";;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-08-31;en;"environment;development;food security;agriculture";"Land, Climate change & Environment;Land & Food Security";;NAM;Reports & Research;http://ir.nust.na/handle/10628/622;http://ir.nust.na/rest/bitstreams/2311/retrieve;;;;;
nust:10628/586;Leasehold as a Vehicle for Economic Development;;Secure tenure and registered land rights are widely believed to be necessary for access to credit, well functioning land markets and economic development. As a result Namibia introduced long term leasehold rights over communal and commercial land for resettlement purposes in order to address preindependence imbalances in land holdings. The purpose is to bring the resettled beneficiaries into the mainstream of the economy, but this has not happened. The research analysed the institutional framework for resettlement allocations and the transaction costs in order to understand the impact of leaseholds on the beneficiaries ability to access credit and mobilise investments. The findings suggest that the transaction cost were low when compared with similar transaction internationally, but high in comparison with the production value of the parcels of land. The lack of resources available to the beneficiaries and their resultant inability to service loans is a major contributor to the lack of economic development. Poor access to information on the registration requirements for leases, combined with the requirements from financial institutions and the lack of a market for leasehold rights meant that beneficiaries are not able to register their leases in order participate meaningfully in economic development.;"Werner, Wolfgang
Bayer, Charl-Thom H.";;;Namibia University of Science and Technology;2017-03-31;en;"development;land;land reform;leases;sustainable development";;;NAM;;http://ir.nust.na/handle/10628/586;http://ir.nust.na/rest/bitstreams/2222/retrieve;http://ir.nust.na/rest/bitstreams/2225/retrieve;;;;
nust:10628/578;The proposed new Urban and Regional Planning Bill: an appraisal.;;"The Bill aimed at overriding old ordinances that dated back to the 1950s and 60s. The main objective of the Bill is that of decentralisation, and has three main points: the establishment of ""authorized planning authorities"" (APA); the consolidation of Townships Board and the Namibia Planning Advisory Board (NAMPAB) into one Urban and Regional Planning Board; and long term spatial development frameworks by means of a structure plan at all levels: national, regional, and urban.";Genis, Pieter;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-10-31;en;"land;sustainable development;land law;urban areas;urbanization";"Socio-Economic & Institutional Context;Urban Tenure";;;;http://ir.nust.na/handle/10628/578;http://ir.nust.na/rest/bitstreams/2184/retrieve;http://ir.nust.na/rest/bitstreams/2193/retrieve;;;;
